Source_ID,Target_ID,Edge type,Weight,Source_Name,Target_Name,Date,Total no. sender:,Total no. recipient:,ID Letters 1916,Item type,Contributor,
per_108,per_028,directed,1,A. B. Browne,Ellen Daly,11 April 1923,2,80,6622, Letter ,Kerry Library Tralee,
per_108,per_094,directed,1,A. B. Browne,Susan Daly,25 January 1923,2,23,6423, Letter ,Kerry Library Tralee,
per_002,per_013,directed,1,Áine Ní Maolchiaráin,Charlie / Cormac Daly,[1922],2,90,6268,Letter ,Kerry Library Tralee,
per_002,per_013,directed,1,Áine Ní Maolchiaráin,Charlie / Cormac Daly,5 December 1922,2,90,6267,Letter ,Kerry Library Tralee,
per_001,per_057,directed,1,Amy,Mary / May / Máire Daly,15 March 1923,1,36,6357,Letter ,Kerry Library Tralee,
per_003,per_028,directed,1,Anne O'Flanagan,Ellen Daly,8 September 1923,1,80,6347,Letter ,Kerry Library Tralee,
per_106,per_018,directed,1,Arthur Cox and Company Solici,Cornelius Daly,1921],1,14,7.json397 , Letter ,Kerry Library Tralee,
per004_020,per_013,directed,1,Austin Stack and Darrell Figgis,Charlie / Cormac Daly,1 January 1918,1,90,6174,Letter,Kerry Library Tralee,
per_005,per_013,directed,1,Bessie Harrington,Charlie / Cormac Daly,20 February 1923,1,90,6291,Letter ,Kerry Library Tralee,
per_006,per_028,directed,1,Bridget Hannigan,Ellen Daly,28 March 1923,1,80,5092,Letter ,Kerry Library Tralee,
per_007,per_076,directed,1,Brigid McCarron,one of Ellen Daly's children,[1923],2,1,5375,Letter ,Kerry Library Tralee,
per_007,per_028,directed,1,Brigid McCarron,Ellen Daly,[March 1923],2,80,5374,Letter ,Kerry Library Tralee,
per_010,per_013,directed,1,Caitlín Ní Aoda,Charlie / Cormac Daly,10 February 1923,1,90,6289,Letter ,Kerry Library Tralee,
per_011,per_013,directed,1,Cathal Brugha,Charlie / Cormac Daly,17 November 1921,1,90,5006,Letter,Kerry Library Tralee,
per_012,per_028,directed,1,Charles McGinley,Ellen Daly,13 June 1923,2,80,5061,Letter,Kerry Library Tralee,
per_012,per_028,directed,1,Charles McGinley,Ellen Daly,15 May 1923,2,80,5060,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,undated,79,36,4926, Postcard ,Kerry Library Tralee,
per_013,per_023,directed,1,Charlie / Cormac Daly,Dick,[1920],79,1,6179,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,[1922],79,15,6465,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,[1922],79,80,6201,Letter,Kerry Library Tralee,
per_013,per_047,directed,1,Charlie / Cormac Daly,William / Willie / Liam Daly,[February 1923],79,12,5020,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,[February 1923],79,80,6225,Letter,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,[January 1920],79,10,6181,Letter,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,[March 1920],79,10,6186,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,[September 1921],79,80,6189,Letter,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,1 February 1920,79,10,6184,Letter,Kerry Library Tralee,
per_013,per_093,directed,1,Charlie / Cormac Daly,Sinéad Ring,1 February 1923,79,1,5363,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,1 January 1923,79,80,6215,Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,11 January 1923,79,80,6217,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,12 February 1923,79,80,6222,Letter,Kerry Library Tralee,
per_013,per_077,directed,1,Charlie / Cormac Daly,Patrick Lynch,12 November 1921,79,2,5008,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,13 February 1923,79,15,6473,Letter,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,13 January 1920,79,10,6182,Letter,Kerry Library Tralee,
per_013,per_008,directed,1,Charlie / Cormac Daly,C.,13 July 1922,79,1,5025,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,13 September 1922,79,80,6203,Letter,Kerry Library Tralee,
per_013,per_047,directed,1,Charlie / Cormac Daly,William / Willie / Liam Daly,14 March 1923,79,12,5021,Letter,Kerry Library Tralee,
per_013,per_094,directed,1,Charlie / Cormac Daly,Susan Daly,14 March 1923,79,23,5004,Letter,Kerry Library Tralee,
per_013,per_018,directed,1,Charlie / Cormac Daly,Cornelius Daly,14 March 1923,79,14,6450,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,14 March 1923,79,80,6227,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,16 January 1923,79,36,4985,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,17 December 1922,79,80,6210,Letter,Kerry Library Tralee,
per_013,per_011,directed,1,Charlie / Cormac Daly,Cathal Brugha,17 November 1921,79,1,5007,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,18 February 1923,79,80,6223,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,19 December 1921,79,80,6193,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,19 November 1922,79,80,6206,Letter,Kerry Library Tralee,
per_013,per_094,directed,1,Charlie / Cormac Daly,Susan Daly,1922,79,23,5024,Letter,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,1922,79,10,7.json236 , Letter ,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,1922],79,15,7.json415 , Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,1922],79,80,7.json173 , Letter ,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,2 February 1923,79,36,4987,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,20 December 1921,79,80,6194,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,20 July 1922,79,15,6464,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,20 March 1922,79,80,6196,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,21 February 1923,79,36,4989,Letter,Kerry Library Tralee,
per_013,per_088,directed,1,Charlie / Cormac Daly,Seán Lehane,21 January 1923,79,1,5037,Letter,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,21 March 1920,79,10,6185,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,21 November 1922,79,15,6470,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,22 December 1922,79,15,6471,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,24 February 1923,79,36,4990,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,24 November 1922,79,80,6207,Letter,Kerry Library Tralee,
per_013,per_018,directed,1,Charlie / Cormac Daly,Cornelius Daly,25 February 1923,79,14,6449,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,26 December 1922,79,80,6213,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,26 January 1923,79,80,6219,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,27 December 1922,79,80,6214,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,27 February 1923,79,80,6226,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,27 June 1922,79,80,6200,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,28 January 1922,79,80,6195,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,28 March 1922,79,80,6197,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,28 October 1921,79,36,4983,Letter,Kerry Library Tralee,
per_013,per_018,directed,1,Charlie / Cormac Daly,Cornelius Daly,3 December 1921,79,14,6192,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,3 March 1923,79,80,4993,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,30 June 1922,79,36,6202,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,30 November 1922,79,80,4995,Letter,Kerry Library Tralee,
per_013,per_094,directed,1,Charlie / Cormac Daly,Susan Daly,30 November 1922,79,23,6208,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,30 Oc,79,15,7.json416 , Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,30 October 1922,79,80,6466,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,31 January 1920,79,15,6183,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,31 October 1921,79,80,4945, Letter ,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Katherine Allman,4 February 1923,79,15,6472,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,4 September 1922,79,15,6204,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,4 September 1922,79,80,7.json178 , Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,5 March 1923,79,80,4994,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,5 March 1923,79,36,7.json209 , Letter ,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,6 November 1922,79,36,6467,Letter,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,6 November 1922,79,15,7.json417 , Letter ,Kerry Library Tralee,
per_013,per_042,directed,1,Charlie / Cormac Daly,Katherine Allman,7 June 1920,79,15,6188,Letter,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,7 June 1920,79,36,4943,Letter,Kerry Library Tralee,
per_013,per_013,directed,1,Charlie / Cormac Daly,Charlie / Cormac Daly,7 May 1920,79,90,6187,Letter,Kerry Library Tralee,
per_013,per_018,directed,1,Charlie / Cormac Daly,Cornelius Daly,8 December 1922,79,14,6447, Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,8 December 1922,79,80,6209, Letter ,Kerry Library Tralee,
per_013,per_057,directed,1,Charlie / Cormac Daly,Mary / May / Máire Daly,9 January 1923,79,36,5033,Letter,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,9 November 1921,79,80,6191, Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,February 1923],79,80,7.json197 , Letter ,Kerry Library Tralee,
per_013,per_028,directed,1,Charlie / Cormac Daly,Ellen Daly,September 1921],79,80,7.json164 , Letter ,Kerry Library Tralee,
per_013,per_105,directed,1,Charlie / Cormac Daly,unknown,undated,79,10,6171,Postcard,Kerry Library Tralee,
per_114,per_013,directed,1,Chief of Staff (IRA),Charlie / Cormac Daly,30 November 1921,1,90,7.json224 , Letter,Kerry Library Tralee,
per_014,per_013,directed,1,Cis Doherty,Charlie / Cormac Daly,[December 1922],4,90,6258,Christmas Card ,Kerry Library Tralee,
per_014,per_013,directed,1,Cis Doherty,Charlie / Cormac Daly,1 March 1923,4,90,6260,Letter ,Kerry Library Tralee,
