"
Source",Unit no.,Function,"Work party / supply depot address
",Town,Full Address,Latitude,Longitude,County (ancient),County (modern),Opened,Closed,"Established / run by (last name)
",First and middle names,Gender,Marital status,Collaborators
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Leinster Express 1831-current, Saturday, December 11, 1915; Page: 5 / Leinster Express 1831-current, Saturday, March 04, 1916; Page: 4",none,moss depot & regional supply depot,not stated,Abbeyleix,Abbeyleix Ireland ,52.9152801,-7.3478923,Queen’s County,Laois,Dec. 1915,[1919],Marchioness of Waterford,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Abbeyleix,Abbeyleix Ireland ,52.9152801,-7.3478923,Queen’s County,Laois,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Achill,Achill Ireland ,53.9619505,-10.015335,Mayo,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Adavoyle,Adavoyle Ireland ,54.105747,-6.399221,Armagh,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Aghada,Aghada Ireland ,51.836983,-8.2089958,Carlow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Aghade and Ballin Temple,Aghade and Ballin Temple Ireland ,52.7687606,-6.7509757,Carlow,,,[1919],,,,,
Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Ahascragh,Ahascragh Ireland ,53.3976127,-8.3346318,Galway,,1915,[1919],Dillon,"Augusta, Lady Clonbrock",f,married,"The Hon. Lady Mahon, Miss Mahon, Miss Glaser (quit before 1917?)"
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Anglish and Villierstown,Anglish and Villierstown Ireland ,52.0882445,-7.850768,,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Antrim,Antrim Ireland ,54.7195338,-6.2072498,Antrim,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ardee,Ardee Ireland ,53.8576227,-6.5400009,Louth,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation / Nenagh Guardian 1838-current, Saturday, September 08, 1917; Page: 2",none,"moss depot (""sub-depot"")",not stated,Arklow and Avoca,Arklow and Avoca Ireland ,52.8586664,-6.2140891,,,,[1919],,,,,
http://www.scarletfinders.co.uk/178.html,1733,general supply depot,THE PLACE,Armagh,Armagh Ireland ,54.3500658,-6.6523119,Armagh,Armagh,,[1919],Crozier,not stated,f,married,
http://www.scarletfinders.co.uk/178.html,5715,general supply depot,4 MALL VIEW,Armagh,Armagh Ireland ,54.3500658,-6.6523119,Armagh,Armagh,,[1919],Paterson,T. G. F.,not stated,unkown,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Armagh,Armagh Ireland ,54.3500658,-6.6523119,Armagh,Armagh,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Athenry,Athenry Ireland ,53.3008131,-8.7453768,Galway,Galway,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Athenry,Athenry Ireland ,53.3008131,-8.7453768,Galway,Galway,,[1919],Martin,Mrs,f,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss depot,not stated,Athy,Athy Ireland ,52.9918336,-6.9857281,,,,[1919],,,,,
"Nationalist and Leinster Times 1883-current, Saturday, January 06, 1917; Page: 3",none,woodwork sub-depot (men's section),not stated,Athy,Athy Ireland ,,,,,Dec. 1915,[1919],Painting,H.,m,not stated,
"Westmeath Independent 1848-current, Saturday, December 04, 1915; Page: 5",none,general supply depot,not stated,Athlone,Athlone Ireland,,,Westmeath,,Dec. 1915,[1919],Lady Castlemaine / Mrs. Disney,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Aughrim,Aughrim Ireland ,52.8559337,-6.3259331,Wicklow,,,[1919],,,,,
"21 February 1919, Third Annual Report of the Sphagnum Department of the Irish War Hospital Supply Organisation",none,moss collection centre,not stated,Ballina,Ballina Ireland ,54.1149482,-9.1550693,Mayo,,,[1919],,,,,
 Royal College of Science Sub-Depot report for 1915 and 1916,none,moss collection centre,not stated,Ballina,Ballina Ireland ,54.1149482,-9.1550693,Mayo,,,[1919],Knox,Miss,f,,
